activity,subject,variable,average
LAYING,1,tBodyGyroJerkMagStd,-0.9358409827999999
LAYING,1,tBodyGyroJerkMeanX,-0.107270949192
LAYING,1,tBodyGyroJerkMeanY,-0.04151728689
LAYING,1,tBodyGyroJerkMeanZ,-0.0740501211
LAYING,1,tBodyGyroJerkStdX,-0.9186085208
LAYING,1,tBodyGyroJerkStdY,-0.9679072436
LAYING,1,tBodyGyroJerkStdZ,-0.9577901596
LAYING,1,tBodyGyroMagMean,-0.874759548
LAYING,1,tBodyGyroMagStd,-0.81901016976
LAYING,1,tBodyGyroMeanX,-0.016553093978
LAYING,1,tBodyGyroMeanY,-0.064486124088
LAYING,1,tBodyGyroMeanZ,0.14868943626
LAYING,1,tBodyGyroStdX,-0.87354386782
LAYING,1,tBodyGyroStdY,-0.9510904402
LAYING,1,tBodyGyroStdZ,-0.9082846626
LAYING,1,tGravityAccMagMean,-0.8419291525
LAYING,1,tGravityAccMagStd,-0.79514486386
LAYING,1,tGravityAccMeanX,-0.24888179828
LAYING,1,tGravityAccMeanY,0.70554977346
LAYING,1,tGravityAccMeanZ,0.4458177198
LAYING,1,tGravityAccStdX,-0.8968300184
LAYING,1,tGravityAccStdY,-0.90772000676
LAYING,1,tGravityAccStdZ,-0.85236629022
LAYING,2,fBodyAccJerkMeanFreqX,0.159808328563875
LAYING,2,fBodyAccJerkMeanFreqY,0.1212064240125
LAYING,2,fBodyAccJerkMeanFreqZ,0.19055821814583332
LAYING,2,fBodyAccJerkMeanX,-0.9858136308333333
LAYING,2,fBodyAccJerkMeanY,-0.9827682504166667
LAYING,2,fBodyAccJerkMeanZ,-0.9861971345833334
LAYING,2,fBodyAccJerkStdX,-0.9872502558333334
LAYING,2,fBodyAccJerkStdY,-0.9849873929166667
LAYING,2,fBodyAccJerkStdZ,-0.9893453685416667
LAYING,2,fBodyAccMagMean,-0.9751101964583333
LAYING,2,fBodyAccMagMeanFreq,0.2662982125
LAYING,2,fBodyAccMagStd,-0.9751213879166667
LAYING,2,fBodyAccMeanFreqX,-0.14648279259166666
LAYING,2,fBodyAccMeanFreqY,0.2572894655
LAYING,2,fBodyAccMeanFreqZ,0.4025325533958333
LAYING,2,fBodyAccMeanX,-0.9767250597916667
LAYING,2,fBodyAccMeanY,-0.9798008779166667
LAYING,2,fBodyAccMeanZ,-0.984380981875
LAYING,2,fBodyAccStdX,-0.9732464820833333
LAYING,2,fBodyAccStdY,-0.981025105625
LAYING,2,fBodyAccStdZ,-0.984792185
LAYING,2,fBodyBodyAccJerkMagMean,-0.9853741147916667
LAYING,2,fBodyBodyAccJerkMagMeanFreq,0.3417585745
LAYING,2,fBodyBodyAccJerkMagStd,-0.9845684891666666
LAYING,2,fBodyBodyGyroJerkMagMean,-0.9902487022916666
LAYING,2,fBodyBodyGyroJerkMagMeanFreq,0.26480150539583336
LAYING,2,fBodyBodyGyroJerkMagStd,-0.9894926604166667
LAYING,2,fBodyBodyGyroMagMean,-0.9721129727083333
LAYING,2,fBodyBodyGyroMagMeanFreq,0.01856447223125
LAYING,2,fBodyBodyGyroMagStd,-0.96109837875
LAYING,2,fBodyGyroMeanFreqX,0.10261131938125
LAYING,2,fBodyGyroMeanFreqY,0.042280668393750005
LAYING,2,fBodyGyroMeanFreqZ,0.05529859864791667
LAYING,2,fBodyGyroMeanX,-0.9864311425
LAYING,2,fBodyGyroMeanY,-0.9833216354166666
LAYING,2,fBodyGyroMeanZ,-0.9626718875
LAYING,2,fBodyGyroStdX,-0.9888606858333333
LAYING,2,fBodyGyroStdY,-0.9819106164583333
LAYING,2,fBodyGyroStdZ,-0.9631742222916667
LAYING,2,tBodyAccJerkMagMean,-0.9877416960416666
LAYING,2,tBodyAccJerkMagStd,-0.98551807625
LAYING,2,tBodyAccJerkMeanX,0.08259725116666666
LAYING,2,tBodyAccJerkMeanY,0.012254788451875
LAYING,2,tBodyAccJerkMeanZ,-0.0018026489562499998
LAYING,2,tBodyAccJerkStdX,-0.98587216875
LAYING,2,tBodyAccJerkStdY,-0.98317254125
LAYING,2,tBodyAccJerkStdZ,-0.988442014375
LAYING,2,tBodyAccMagMean,-0.9774354852083333
LAYING,2,tBodyAccMagStd,-0.9728739129166667
LAYING,2,tBodyAccMeanX,0.2813734039583333
LAYING,2,tBodyAccMeanY,-0.018158739758333334
LAYING,2,tBodyAccMeanZ,-0.10724561041666666
LAYING,2,tBodyAccStdX,-0.9740594647916667
LAYING,2,tBodyAccStdY,-0.98027739875
LAYING,2,tBodyAccStdZ,-0.984233296875
LAYING,2,tBodyGyroJerkMagMean,-0.9917670741666667
LAYING,2,tBodyGyroJerkMagStd,-0.9897180952083333
LAYING,2,tBodyGyroJerkMeanX,-0.10197413420833333
LAYING,2,tBodyGyroJerkMeanY,-0.035859017608333335
LAYING,2,tBodyGyroJerkMeanZ,-0.07017830208333334
LAYING,2,tBodyGyroJerkStdX,-0.9932358491666666
LAYING,2,tBodyGyroJerkStdY,-0.9895675379166666
LAYING,2,tBodyGyroJerkStdZ,-0.98803582125
LAYING,2,tBodyGyroMagMean,-0.9500115695833333
LAYING,2,tBodyGyroMagStd,-0.9611640539583334
LAYING,2,tBodyGyroMeanX,-0.01847660675
LAYING,2,tBodyGyroMeanY,-0.11180082458333333
LAYING,2,tBodyGyroMeanZ,0.14488284610416666
LAYING,2,tBodyGyroStdX,-0.9882752329166666
LAYING,2,tBodyGyroStdY,-0.9822916089583333
LAYING,2,tBodyGyroStdZ,-0.9603065604166666
LAYING,2,tGravityAccMagMean,-0.9774354852083333
LAYING,2,tGravityAccMagStd,-0.9728739129166667
LAYING,2,tGravityAccMeanX,-0.509754238125
LAYING,2,tGravityAccMeanY,0.752536639375
LAYING,2,tGravityAccMeanZ,0.6468348795833333
LAYING,2,tGravityAccStdX,-0.9590144414583334
LAYING,2,tGravityAccStdY,-0.9882118652083334
LAYING,2,tGravityAccStdZ,-0.984230418125
LAYING,3,fBodyAccJerkMeanFreqX,0.17597855438870968
LAYING,3,fBodyAccJerkMeanFreqY,-0.013177496175806451
LAYING,3,fBodyAccJerkMeanFreqZ,0.044819690590322585
LAYING,3,fBodyAccJerkMeanX,-0.9805132022580645
LAYING,3,fBodyAccJerkMeanY,-0.9687521137096774
LAYING,3,fBodyAccJerkMeanZ,-0.9791223443548387
LAYING,3,fBodyAccJerkStdX,-0.983122615967742
LAYING,3,fBodyAccJerkStdY,-0.9710440127419355
LAYING,3,fBodyAccJerkStdZ,-0.9837119046774193
LAYING,3,fBodyAccMagMean,-0.9655242751612904
LAYING,3,fBodyAccMagMeanFreq,0.23699012787096774
LAYING,3,fBodyAccMagStd,-0.9683502174193548
LAYING,3,fBodyAccMeanFreqX,-0.07395264398870968
LAYING,3,fBodyAccMeanFreqY,0.23847075143548388
LAYING,3,fBodyAccMeanFreqZ,0.21697167167258063
LAYING,3,fBodyAccMeanX,-0.9806656090322581
LAYING,3,fBodyAccMeanY,-0.9611699829032259
LAYING,3,fBodyAccMeanZ,-0.9683321416129033
LAYING,3,fBodyAccStdX,-0.9836911290322581
LAYING,3,fBodyAccStdY,-0.9640946041935484
LAYING,3,fBodyAccStdZ,-0.9632790801612903
LAYING,3,fBodyBodyAccJerkMagMean,-0.9759495979032258
LAYING,3,fBodyBodyAccJerkMagMeanFreq,0.23861113393709676
LAYING,3,fBodyBodyAccJerkMagStd,-0.9753053779032258
LAYING,3,fBodyBodyGyroJerkMagMean,-0.9842782512903225
LAYING,3,fBodyBodyGyroJerkMagMeanFreq,0.11069770418548387
LAYING,3,fBodyBodyGyroJerkMagStd,-0.9825681580645161
LAYING,3,fBodyBodyGyroMagMean,-0.9645867248387097
LAYING,3,fBodyBodyGyroMagMeanFreq,-0.02292961146935484
LAYING,3,fBodyBodyGyroMagStd,-0.9554418558064516
LAYING,3,fBodyGyroMeanFreqX,-0.08221664542903226
LAYING,3,fBodyGyroMeanFreqY,-0.02668201089032258
LAYING,3,fBodyGyroMeanFreqZ,0.1476864555480645
LAYING,3,fBodyGyroMeanX,-0.9701672629032257
LAYING,3,fBodyGyroMeanY,-0.9780996822580645
LAYING,3,fBodyGyroMeanZ,-0.9623419608064516
LAYING,3,fBodyGyroStdX,-0.9759864337096774
LAYING,3,fBodyGyroStdY,-0.9770324954838709
LAYING,3,fBodyGyroStdZ,-0.9672568541935483
LAYING,3,tBodyAccJerkMagMean,-0.9794845933870968
LAYING,3,tBodyAccJerkMagStd,-0.9761212979032258
LAYING,3,tBodyAccJerkMeanX,0.07698111258064516
LAYING,3,tBodyAccJerkMeanY,0.01380410113064516
LAYING,3,tBodyAccJerkMeanZ,-0.004356258743556452
LAYING,3,tBodyAccJerkStdX,-0.9808793148387097
LAYING,3,tBodyAccJerkStdY,-0.9687107246774194
LAYING,3,tBodyAccJerkStdZ,-0.9820931629032258
LAYING,3,tBodyAccMagMean,-0.9727913461290323
LAYING,3,tBodyAccMagStd,-0.9642181764516129
LAYING,3,tBodyAccMeanX,0.2755168527419355
LAYING,3,tBodyAccMeanY,-0.01895567850483871
LAYING,3,tBodyAccMeanZ,-0.10130047750645162
LAYING,3,tBodyAccStdX,-0.9827766391935484
LAYING,3,tBodyAccStdY,-0.962057544516129
LAYING,3,tBodyAccStdZ,-0.9636910348387097
LAYING,3,tBodyGyroJerkMagMean,-0.9867136251612904
LAYING,3,tBodyGyroJerkMagStd,-0.9831392556451612
LAYING,3,tBodyGyroJerkMeanX,-0.10004449883870968
LAYING,3,tBodyGyroJerkMeanY,-0.038977176532258066
LAYING,3,tBodyGyroJerkMeanZ,-0.06873387
LAYING,3,tBodyGyroJerkStdX,-0.980328645
LAYING,3,tBodyGyroJerkStdY,-0.9867627419354839
LAYING,3,tBodyGyroJerkStdZ,-0.9833382795161291
LAYING,3,tBodyGyroMagMean,-0.9515647514516129
LAYING,3,tBodyGyroMagStd,-0.954275110967742
LAYING,3,tBodyGyroMeanX,-0.020817054033064514
LAYING,3,tBodyGyroMeanY,-0.07185071594354839
LAYING,3,tBodyGyroMeanZ,0.13799956111290324
LAYING,3,tBodyGyroStdX,-0.9745457520967742
LAYING,3,tBodyGyroStdY,-0.9772726537096774
LAYING,3,tBodyGyroStdZ,-0.963505609032258
LAYING,3,tGravityAccMagMean,-0.9727913461290323
LAYING,3,tGravityAccMagStd,-0.9642181764516129
LAYING,3,tGravityAccMeanX,-0.24175847806451614
LAYING,3,tGravityAccMeanY,0.8370320996774193
LAYING,3,tGravityAccMeanZ,0.4887031851612903
LAYING,3,tGravityAccStdX,-0.9825121930645161
LAYING,3,tGravityAccStdY,-0.9812027496774194
LAYING,3,tGravityAccStdZ,-0.9648075438709678
LAYING,4,fBodyAccJerkMeanFreqX,0.1824364831574074
LAYING,4,fBodyAccJerkMeanFreqY,0.09874288362962963
LAYING,4,fBodyAccJerkMeanFreqZ,0.0770211165
LAYING,4,fBodyAccJerkMeanX,-0.9785424574074074
LAYING,4,fBodyAccJerkMeanY,-0.9439699872222223
LAYING,4,fBodyAccJerkMeanZ,-0.9753833294444444
LAYING,4,fBodyAccJerkStdX,-0.9800792925925926
LAYING,4,fBodyAccJerkStdY,-0.9443668816666667
LAYING,4,fBodyAccJerkStdZ,-0.9802612362962964
LAYING,4,fBodyAccMagMean,-0.9393897012962963
LAYING,4,fBodyAccMagMeanFreq,0.24169789981481482
LAYING,4,fBodyAccMagStd,-0.937187975962963
LAYING,4,fBodyAccMeanFreqX,-0.2741946187666667
LAYING,4,fBodyAccMeanFreqY,0.36623144899444443
LAYING,4,fBodyAccMeanFreqZ,0.2013295919761111
LAYING,4,fBodyAccMeanX,-0.9588020775925926
LAYING,4,fBodyAccMeanY,-0.9388833744444445
LAYING,4,fBodyAccMeanZ,-0.9675042788888889
LAYING,4,fBodyAccStdX,-0.9524648814814815
LAYING,4,fBodyAccStdY,-0.9463809711111111
LAYING,4,fBodyAccStdZ,-0.9621544542592593
LAYING,4,fBodyBodyAccJerkMagMean,-0.9622871253703704
LAYING,4,fBodyBodyAccJerkMagMeanFreq,0.2740273495740741
LAYING,4,fBodyBodyAccJerkMagStd,-0.9580371192592593
LAYING,4,fBodyBodyGyroJerkMagMean,-0.9836090733333334
LAYING,4,fBodyBodyGyroJerkMagMeanFreq,0.20294938153703704
LAYING,4,fBodyBodyGyroJerkMagStd,-0.9825436316666667
LAYING,4,fBodyBodyGyroMagMean,-0.9615566601851852
LAYING,4,fBodyBodyGyroMagMeanFreq,-0.2598519697981482
LAYING,4,fBodyBodyGyroMagStd,-0.9471003251851852
LAYING,4,fBodyGyroMeanFreqX,-0.06609218239444445
LAYING,4,fBodyGyroMeanFreqY,-0.526889995562963
LAYING,4,fBodyGyroMeanFreqZ,0.1528863116037037
LAYING,4,fBodyGyroMeanX,-0.9672037364814815
LAYING,4,fBodyGyroMeanY,-0.972187839074074
LAYING,4,fBodyGyroMeanZ,-0.9614792625925926
LAYING,4,fBodyGyroStdX,-0.9750947394444445
LAYING,4,fBodyGyroStdY,-0.9561825001851851
LAYING,4,fBodyGyroStdZ,-0.9658074666666667
LAYING,4,tBodyAccJerkMagMean,-0.9700957716666667
LAYING,4,tBodyAccJerkMagStd,-0.9607864307407408
LAYING,4,tBodyAccJerkMeanX,0.09344942177777778
LAYING,4,tBodyAccJerkMeanY,0.006933132139685185
LAYING,4,tBodyAccJerkMeanZ,-0.006410543287407407
LAYING,4,tBodyAccJerkStdX,-0.9783027811111111
LAYING,4,tBodyAccJerkStdY,-0.9422094883333333
LAYING,4,tBodyAccJerkStdZ,-0.9785119842592592
LAYING,4,tBodyAccMagMean,-0.9545576031481482
LAYING,4,tBodyAccMagStd,-0.9312922166111111
LAYING,4,tBodyAccMeanX,0.2635592149814815
LAYING,4,tBodyAccMeanY,-0.015003184105555555
LAYING,4,tBodyAccMeanZ,-0.11068815031481481
LAYING,4,tBodyAccStdX,-0.9541937388888889
LAYING,4,tBodyAccStdY,-0.9417140424074074
LAYING,4,tBodyAccStdZ,-0.9626673148148148
LAYING,4,tBodyGyroJerkMagMean,-0.985068502037037
LAYING,4,tBodyGyroJerkMagStd,-0.9826982137037037
LAYING,4,tBodyGyroJerkMeanX,-0.10501987768518518
LAYING,4,tBodyGyroJerkMeanY,-0.03812304322222222
LAYING,4,tBodyGyroJerkMeanZ,-0.07121562883333334
LAYING,4,tBodyGyroJerkStdX,-0.9751032042592592
LAYING,4,tBodyGyroJerkStdY,-0.9868556298148148
LAYING,4,tBodyGyroJerkStdZ,-0.9839653598148148
LAYING,4,tBodyGyroMagMean,-0.9302364625925926
LAYING,4,tBodyGyroMagStd,-0.9470317816666667
LAYING,4,tBodyGyroMeanX,-0.009231563472222223
LAYING,4,tBodyGyroMeanY,-0.09301281807592593
LAYING,4,tBodyGyroMeanZ,0.1697204040925926
LAYING,4,tBodyGyroStdX,-0.9731024222222222
LAYING,4,tBodyGyroStdY,-0.9611092918518519
LAYING,4,tBodyGyroStdZ,-0.962073755
LAYING,4,tGravityAccMagMean,-0.9545576031481482
LAYING,4,tGravityAccMagStd,-0.9312922166111111
LAYING,4,tGravityAccMeanX,-0.4206646622222222
LAYING,4,tGravityAccMeanY,0.9151651042592592
LAYING,4,tGravityAccMeanZ,0.3415313105555556
LAYING,4,tGravityAccStdX,-0.9211999659259259
LAYING,4,tGravityAccStdY,-0.9698166357407407
LAYING,4,tGravityAccStdZ,-0.9761766088888889
LAYING,5,fBodyAccJerkMeanFreqX,0.23991515732115384
LAYING,5,fBodyAccJerkMeanFreqY,0.1956773363076923
LAYING,5,fBodyAccJerkMeanFreqZ,0.09169387884807692
LAYING,5,fBodyAccJerkMeanX,-0.9826896571153846
LAYING,5,fBodyAccJerkMeanY,-0.9653285661538461
LAYING,5,fBodyAccJerkMeanZ,-0.9832503094230769
LAYING,5,fBodyAccJerkStdX,-0.9856252703846153
LAYING,5,fBodyAccJerkStdY,-0.96624258
LAYING,5,fBodyAccJerkStdZ,-0.9861355990384615
LAYING,5,fBodyAccMagMean,-0.9622349840384615
LAYING,5,fBodyAccMagMeanFreq,0.2920320949673077
LAYING,5,fBodyAccMagStd,-0.9625253694230769
LAYING,5,fBodyAccMeanFreqX,-0.1356324540769231
LAYING,5,fBodyAccMeanFreqY,0.46652823178846153
LAYING,5,fBodyAccMeanFreqZ,0.13231087128461538
LAYING,5,fBodyAccMeanX,-0.9687416784615385
LAYING,5,fBodyAccMeanY,-0.9654195209615385
LAYING,5,fBodyAccMeanZ,-0.9770077246153847
LAYING,5,fBodyAccStdX,-0.9649538936538462
LAYING,5,fBodyAccStdY,-0.9729091867307692
LAYING,5,fBodyAccStdZ,-0.9658821911538461
LAYING,5,fBodyBodyAccJerkMagMean,-0.9773563798076923
LAYING,5,fBodyBodyAccJerkMagMeanFreq,0.19700500146153846
LAYING,5,fBodyBodyAccJerkMagStd,-0.9763819348076923
LAYING,5,fBodyBodyGyroJerkMagMean,-0.9846180257692307
LAYING,5,fBodyBodyGyroJerkMagMeanFreq,0.02473671066153846
LAYING,5,fBodyBodyGyroJerkMagStd,-0.9834344930769231
LAYING,5,fBodyBodyGyroMagMean,-0.9682570688461538
LAYING,5,fBodyBodyGyroMagMeanFreq,0.10244176592307692
LAYING,5,fBodyBodyGyroMagStd,-0.9592630632692307
LAYING,5,fBodyGyroMeanFreqX,-0.02272358571153846
LAYING,5,fBodyGyroMeanFreqY,0.06812484775
LAYING,5,fBodyGyroMeanFreqZ,0.04136002810096154
LAYING,5,fBodyGyroMeanX,-0.9757974917307692
LAYING,5,fBodyGyroMeanY,-0.9782496457692308
LAYING,5,fBodyGyroMeanZ,-0.9632029484615384
LAYING,5,fBodyGyroStdX,-0.9807057698076923
LAYING,5,fBodyGyroStdY,-0.9772578009615385
LAYING,5,fBodyGyroStdZ,-0.9633057380769231
LAYING,5,tBodyAccJerkMagMean,-0.9801412538461538
LAYING,5,tBodyAccJerkMagStd,-0.9774771453846154
LAYING,5,tBodyAccJerkMeanX,0.08481648242307692
LAYING,5,tBodyAccJerkMeanY,0.007474608296153846
LAYING,5,tBodyAccJerkMeanZ,-0.003040671596538462
LAYING,5,tBodyAccJerkStdX,-0.9833078621153846
LAYING,5,tBodyAccJerkStdY,-0.9645604309615384
LAYING,5,tBodyAccJerkStdZ,-0.9854193684615384
LAYING,5,tBodyAccMagMean,-0.9667778828846154
LAYING,5,tBodyAccMagStd,-0.9586127863461539
LAYING,5,tBodyAccMeanX,0.27833432557692306
LAYING,5,tBodyAccMeanY,-0.018304212326923076
LAYING,5,tBodyAccMeanZ,-0.10793760367307692
LAYING,5,tBodyAccStdX,-0.9659345096153846
LAYING,5,tBodyAccStdY,-0.9692956132692307
LAYING,5,tBodyAccStdZ,-0.9685625163461539
LAYING,5,tBodyGyroJerkMagMean,-0.9864194225
LAYING,5,tBodyGyroJerkMagStd,-0.98377138
LAYING,5,tBodyGyroJerkMeanX,-0.102114125
LAYING,5,tBodyGyroJerkMeanY,-0.04044469252884615
LAYING,5,tBodyGyroJerkMeanZ,-0.07083096875
LAYING,5,tBodyGyroJerkStdX,-0.9834222576923077
LAYING,5,tBodyGyroJerkStdY,-0.9837594792307692
LAYING,5,tBodyGyroJerkStdZ,-0.9896795923076923
LAYING,5,tBodyGyroMagMean,-0.9469383005769231
LAYING,5,tBodyGyroMagStd,-0.9582879219230769
LAYING,5,tBodyGyroMeanX,-0.02189350135019231
LAYING,5,tBodyGyroMeanY,-0.07987095961538461
LAYING,5,tBodyGyroMeanZ,0.1598943669423077
LAYING,5,tBodyGyroStdX,-0.9794987065384615
LAYING,5,tBodyGyroStdY,-0.9774273705769231
LAYING,5,tBodyGyroStdZ,-0.960583776923077
LAYING,5,tGravityAccMagMean,-0.9667778828846154
LAYING,5,tGravityAccMagStd,-0.9586127863461539
LAYING,5,tGravityAccMeanX,-0.4834705976923077
LAYING,5,tGravityAccMeanY,0.9548903461538462
LAYING,5,tGravityAccMeanZ,0.26364469192307693
LAYING,5,tGravityAccStdX,-0.9456953361538462
LAYING,5,tGravityAccStdY,-0.9859640538461538
LAYING,5,tGravityAccStdZ,-0.977076645
LAYING,6,fBodyAccJerkMeanFreqX,0.011473189407017543
LAYING,6,fBodyAccJerkMeanFreqY,-0.02220294602982456
LAYING,6,fBodyAccJerkMeanFreqZ,0.0784684032122807
LAYING,6,fBodyAccJerkMeanX,-0.9670724368421053
LAYING,6,fBodyAccJerkMeanY,-0.9360434201754386
LAYING,6,fBodyAccJerkMeanZ,-0.9544258447368421
LAYING,6,fBodyAccJerkStdX,-0.9686191594736843
LAYING,6,fBodyAccJerkStdY,-0.9357174528070176
LAYING,6,fBodyAccJerkStdZ,-0.963567540877193
LAYING,6,fBodyAccMagMean,-0.9123516522280701
LAYING,6,fBodyAccMagMeanFreq,0.1446050868
LAYING,6,fBodyAccMagStd,-0.9053739798245614
LAYING,6,fBodyAccMeanFreqX,-0.21972993415789474
LAYING,6,fBodyAccMeanFreqY,0.3484187461403509
LAYING,6,fBodyAccMeanFreqZ,0.16145792783333335
LAYING,6,fBodyAccMeanX,-0.9391142542105263
LAYING,6,fBodyAccMeanY,-0.9237067914035088
LAYING,6,fBodyAccMeanZ,-0.9380449122807017
LAYING,6,fBodyAccStdX,-0.9324629414614035
LAYING,6,fBodyAccStdY,-0.9297112199298245
LAYING,6,fBodyAccStdZ,-0.9240047484210526
LAYING,6,fBodyBodyAccJerkMagMean,-0.9486554710526316
LAYING,6,fBodyBodyAccJerkMagMeanFreq,0.1825250778894737
LAYING,6,fBodyBodyAccJerkMagStd,-0.9515526640350878
LAYING,6,fBodyBodyGyroJerkMagMean,-0.953695957368421
LAYING,6,fBodyBodyGyroJerkMagMeanFreq,0.16376531874385966
LAYING,6,fBodyBodyGyroJerkMagStd,-0.9555046545614035
LAYING,6,fBodyBodyGyroMagMean,-0.9301536394736842
LAYING,6,fBodyBodyGyroMagMeanFreq,0.11931752294210526
LAYING,6,fBodyBodyGyroMagStd,-0.9286948901754386
LAYING,6,fBodyGyroMeanFreqX,0.10254906628087719
LAYING,6,fBodyGyroMeanFreqY,0.023656780233333334
LAYING,6,fBodyGyroMeanFreqZ,0.04452255376140351
LAYING,6,fBodyGyroMeanX,-0.9354397696491228
LAYING,6,fBodyGyroMeanY,-0.9417715443859649
LAYING,6,fBodyGyroMeanZ,-0.9326366128070176
LAYING,6,fBodyGyroStdX,-0.9621649785964912
LAYING,6,fBodyGyroStdY,-0.9453650978947369
LAYING,6,fBodyGyroStdZ,-0.9471367743859649
LAYING,6,tBodyAccJerkMagMean,-0.9547505049122808
LAYING,6,tBodyAccJerkMagStd,-0.9503419343859649
LAYING,6,tBodyAccJerkMeanX,0.0963481955263158
LAYING,6,tBodyAccJerkMeanY,-0.00114529240245614
LAYING,6,tBodyAccJerkMeanZ,0.0032881728807017544
LAYING,6,tBodyAccJerkStdX,-0.9663410547368421
LAYING,6,tBodyAccJerkStdY,-0.933674494385965
LAYING,6,tBodyAccJerkStdZ,-0.9596460552631579
LAYING,6,tBodyAccMagMean,-0.9188788508245614
LAYING,6,tBodyAccMagStd,-0.8973262459649123
LAYING,6,tBodyAccMeanX,0.2486565201403509
LAYING,6,tBodyAccMeanY,-0.010252917056140351
LAYING,6,tBodyAccMeanZ,-0.13311957036842106
LAYING,6,tBodyAccStdX,-0.9340494220526315
LAYING,6,tBodyAccStdY,-0.9246448263859649
LAYING,6,tBodyAccStdZ,-0.9252161003508772
LAYING,6,tBodyGyroJerkMagMean,-0.955645738245614
LAYING,6,tBodyGyroJerkMagStd,-0.9531570015789473
LAYING,6,tBodyGyroJerkMeanX,-0.11126728463157895
LAYING,6,tBodyGyroJerkMeanY,-0.04241042899929825
LAYING,6,tBodyGyroJerkMeanZ,-0.0717774743859649
LAYING,6,tBodyGyroJerkStdX,-0.9396116082456141
LAYING,6,tBodyGyroJerkStdY,-0.9586288196491228
LAYING,6,tBodyGyroJerkStdZ,-0.9595790715789474
LAYING,6,tBodyGyroMagMean,-0.9089801747368421
LAYING,6,tBodyGyroMagStd,-0.9209144970175439
LAYING,6,tBodyGyroMeanX,-0.007960502675438595
LAYING,6,tBodyGyroMeanY,-0.10721831505438596
LAYING,6,tBodyGyroMeanZ,0.17910205824561404
LAYING,6,tBodyGyroStdX,-0.9553782250877193
LAYING,6,tBodyGyroStdY,-0.9436349494736842
LAYING,6,tBodyGyroStdZ,-0.9391418785964912
LAYING,6,tGravityAccMagMean,-0.9188788508245614
LAYING,6,tGravityAccMagStd,-0.8973262459649123
LAYING,6,tGravityAccMeanX,-0.47670987877192983
LAYING,6,tGravityAccMeanY,0.9565938142105264
